,Mean_X,Mean_Xm,Mean_Xt,Mean_BG_X,Mean_BG_Xm,Mean_BG_Xt,Mean_DoG_X,Mean_DoG_Xm,Mean_DoG_Xt,Mean_DoG_BG_X,Mean_DoG_BG_Xm,Mean_DoG_BG_Xt,Frame
126,176.4444,176.4444,176.4444,6.4444,6.4444,6.4444,2.4443,2.4443,2.4443,1.3327,1.3327,1.3327,126.0
127,194.8889,194.8889,194.8889,26.7889,26.7889,26.7889,5.6122,5.6122,5.6122,4.81,4.81,4.81,127.0
128,184.1111,184.1111,184.1111,18.6611,18.6611,18.6611,4.0857,4.0857,4.0857,3.1737,3.1737,3.1737,128.0
129,183.3333,183.3333,183.3333,17.6333,17.6333,17.6333,3.4232,3.4232,3.4232,2.7001,2.7001,2.7001,129.0
130,202.6667,202.6667,202.6667,38.0667,38.0667,38.0667,6.4609,6.4609,6.4609,5.9368,5.9368,5.9368,130.0
131,196.3333,196.3333,196.3333,34.1833,34.1833,34.1833,6.1678,6.1678,6.1678,5.9962,5.9962,5.9962,131.0
132,196.7778,196.7778,196.7778,24.1778,24.1778,24.1778,6.358,6.358,6.358,5.3759,5.3759,5.3759,132.0
133,192.2222,192.2222,192.2222,24.5222,24.5222,24.5222,5.6568,5.6568,5.6568,4.9883,4.9883,4.9883,133.0
134,194.3333,194.3333,194.3333,29.7333,29.7333,29.7333,6.0361,6.0361,6.0361,5.6725,5.6725,5.6725,134.0
135,198.0,198.0,198.0,29.7,29.7,29.7,6.0388,6.0388,6.0388,5.2255,5.2255,5.2255,135.0
136,191.2222,191.2222,191.2222,28.2722,28.2722,28.2722,5.0087,5.0087,5.0087,4.9123,4.9123,4.9123,136.0
137,185.7778,185.7778,185.7778,12.1278,12.1278,12.1278,3.0796,3.0796,3.0796,1.5666,1.5666,1.5666,137.0
138,195.6667,195.6667,195.6667,24.4167,24.4167,24.4167,5.1179,5.1179,5.1179,4.0311,4.0311,4.0311,138.0
139,200.1111,200.1111,200.1111,35.6111,35.6111,35.6111,6.4571,6.4571,6.4571,6.2134,6.2134,6.2134,139.0
140,194.3333,194.3333,194.3333,27.0833,27.0833,27.0833,4.8359,4.8359,4.8359,4.1003,4.1003,4.1003,140.0
141,189.4444,189.4444,189.4444,21.2444,21.2444,21.2444,4.1051,4.1051,4.1051,3.8545,3.8545,3.8545,141.0
142,184.3333,184.3333,184.3333,14.8333,14.8333,14.8333,4.0701,4.0701,4.0701,3.5463,3.5463,3.5463,142.0
143,195.0,195.0,195.0,24.9,24.9,24.9,5.1192,5.1192,5.1192,4.8426,4.8426,4.8426,143.0
144,206.0,206.0,206.0,33.2,33.2,33.2,7.2456,7.2456,7.2456,6.3221,6.3221,6.3221,144.0
145,194.3333,194.3333,194.3333,26.2833,26.2833,26.2833,4.8521,4.8521,4.8521,4.5487,4.5487,4.5487,145.0
