,Frame,Intensity_Corrected,Intensity_Raw
525,525,5.9944,153.4444
526,526,3.0722,147.2222
527,527,2.0444,149.4444
528,528,2.6556,151.5556
529,529,5.3556,149.5556
530,530,7.3333,150.3333
531,531,3.6333,147.3333
532,532,6.0278,147.7778
533,533,9.6222,156.2222
534,534,11.95,161.0
535,535,8.4,161.0
536,536,11.8889,156.8889
537,537,11.1556,159.5556
538,538,-4.7222,142.7778
539,539,-3.6944,143.5556
540,540,0.3889,140.8889
541,541,-1.3889,146.1111
542,542,1.3389,146.8889
543,543,-0.4667,144.3333
544,544,1.3556,146.5556
545,545,-0.5889,142.1111
546,546,-2.5944,139.5556
547,547,-0.0111,142.8889
548,548,-0.4278,145.2222
549,549,-1.05,142.0
550,550,-4.5667,142.3333
551,551,-3.2167,146.3333
552,552,-4.5667,140.3333
553,553,-1.5056,141.4444
554,554,-8.0778,131.2222
555,555,3.2611,144.1111
556,556,5.4389,144.8889
557,557,0.7333,144.3333
558,558,5.0889,144.8889
559,559,-7.1556,137.4444
560,560,-1.6833,142.6667
561,561,-2.2389,142.1111
562,562,2.1722,142.2222
563,563,10.4889,150.8889
564,564,-2.0833,138.6667
565,565,-5.2833,136.6667
566,566,3.1889,144.8889
567,567,-0.9056,141.4444
568,568,-7.8111,131.8889
569,569,-2.9889,139.1111
570,570,0.7889,142.8889
571,571,-1.6667,144.3333
572,572,-0.5333,146.6667
573,573,5.1056,148.5556
574,574,-1.1167,142.3333
575,575,-4.0444,139.5556
576,576,0.0444,142.4444
577,577,1.7056,141.5556
578,578,-8.0333,134.6667
579,579,2.45,144.0
580,580,0.3944,143.4444
581,581,-1.4056,138.4444
582,582,-3.6222,140.7778
583,583,3.6389,144.8889
584,584,3.3444,142.4444
585,585,2.4889,143.8889
586,586,-5.1,134.0
587,587,-2.9889,136.1111
588,588,-1.7333,139.6667
589,589,-1.3333,142.6667
590,590,-4.9889,139.1111
591,591,-3.3,141.0
592,592,-7.8722,135.7778
593,593,2.0444,140.4444
594,594,0.6833,141.3333
595,595,2.4333,143.3333
596,596,3.1722,141.2222
597,597,4.8944,142.4444
598,598,0.7278,140.7778
599,599,1.75,140.0
600,600,-0.6889,141.1111
601,601,0.0278,138.7778
602,602,6.15,145.0
603,603,-5.1333,135.6667
604,604,-4.6333,136.6667
605,605,-2.8389,136.1111
606,606,1.5,141.0
607,607,2.0667,141.6667
608,608,2.3389,143.8889
609,609,-2.3444,138.5556
610,610,2.6167,141.6667
611,611,5.3278,144.7778
612,612,1.5611,143.1111
613,613,-1.0,137.0
614,614,-6.9,134.0
